site,participant,mother_initiated_interactions,infant_initiated_interactions,change_of_leaders,intensity(variance)
Brazil,mom_camBLBR0002_adult_synced_trimmed-PD,3.279657933042213,2.888464337700146,0.5003639010189229,0.03422441415127525
Brazil,mom_camBLBR0005_adult_synced_trimmed-PD,zero error,zero error,zero error,zero error
Brazil,mom_camBLBR0006_adult_synced_trimmed-PD,zero error,zero error,zero error,zero error
Brazil,mom_camBLBR0008_adult_synced_trimmed-PD,zero error,zero error,zero error,zero error
Brazil,mom_camBLBR0012_adult_synced_trimmed-PD,3.94,2.9,0.4,0.0412031296951585
Brazil,mom_camBLBR0017_adult_synced_trimmed-PD,zero error,zero error,zero error,zero error
Brazil,mom_camBLBR0019_adult_synced_trimmed-PD,3.5082715345122644,2.5099828864803193,0.41357672561323444,0.027788920577841155
Brazil,mom_camBLBR0023_adult_synced_trimmed-PD,zero error,zero error,zero error,zero error
Brazil,mom_camBLBR0026_adult_synced_trimmed-PD,1.680040120361083,3.6359077231695083,0.7021063189568706,0.030415816326530613
Brazil,mom_camBLBR0040_adult_synced_trimmed-PD,2.8026905829596407,2.746636771300448,0.33632286995515687,0.04777378777753026
Brazil,mom_camBLBR0041_adult_synced_trimmed-PD,zero error,zero error,zero error,zero error
Brazil,mom_camBLBR0047_adult_synced_trimmed-PD,3.426510369702435,2.9080252479711453,0.3606853020739405,0.03124373492390685
Brazil,mom_camBLBR0063_adult_synced_trimmed-PD,zero error,zero error,zero error,zero error
